command,package,version_or_date,source_url,license,redistributable,file_path,sha256,verified_with_stata,notes
table1_mc,table1_mc,3.3 2022-05-05,https://ideas.repec.org/c/boc/bocode/s458351.html,GPL-3.0-only,true,vendor/stata/plus/t/table1_mc.ado,038aadd5e6c27c2a988eb427dba5e345351c9f8b6ecf4ffb84f6bec758ef3c58,Stata 18 BE build 17 Feb 2026,Exact approved final-paper runtime copy
coefplot,coefplot,1.8.6 commit fe6c883881fbda70e506e6ae89a3921d7f220926,https://github.com/benjann/coefplot/tree/fe6c883881fbda70e506e6ae89a3921d7f220926,MIT,true,vendor/stata/plus/c/coefplot.ado,5a53b2a3059b874352aa10b1da9bd9c483c008c4663ce98dae24c48070b13112,Stata 18 BE build 17 Feb 2026,Exact approved final-paper runtime copy
stackedcount,stackedcount,1.0 2020-07-28 distribution 2020-08-09,https://ideas.repec.org/c/boc/bocode/s458825.html,GPL-3.0-only,true,vendor/stata/plus/s/stackedcount.ado,5a4eed4b97b9361567e4e142bdb229e89cf06863070178b85cb55b69574f6b7e,Stata 18 BE build 17 Feb 2026,Exact approved final-paper runtime copy
scheme:white_w3d,schemepack,1.4 commit 962ca13accdc8a87aa3cfcda522ba81143c0a31f,https://github.com/asjadnaqvi/stata-schemepack/tree/962ca13accdc8a87aa3cfcda522ba81143c0a31f,MIT,true,vendor/stata/plus/s/scheme-white_w3d.scheme,95b6b7dc28ec3e87c18824da2969ad0492c362d8c9ac7530be0e159f6626f7fe,Stata 18 BE build 17 Feb 2026,Exact approved final-paper runtime resource
scheme:white_tableau,schemepack,1.4 commit 962ca13accdc8a87aa3cfcda522ba81143c0a31f,https://github.com/asjadnaqvi/stata-schemepack/tree/962ca13accdc8a87aa3cfcda522ba81143c0a31f,MIT,true,vendor/stata/plus/s/scheme-white_tableau.scheme,feb07dc30725627d3ecdf404b53564dbec39627debf7a7d49e9eccce4fa27af7,Stata 18 BE build 17 Feb 2026,Exact approved final-paper runtime resource
oparallel,oparallel,1.0.9 2019-06-13,https://ideas.repec.org/c/boc/bocode/s457720.html,GPL-3.0-only,true,vendor/stata/plus/o/oparallel.ado,c6804be9b30e827037a39b8682d8681d1636b8fd87e1ab4ff87430616a4cd8bf,Stata 18 BE build 17 Feb 2026,Exact approved final-paper runtime copy
gologit3_lf2,oparallel,1.0.9 helper 2019-06-13,https://ideas.repec.org/c/boc/bocode/s457720.html,GPL-3.0-only,true,vendor/stata/plus/g/gologit3_lf2.ado,f7b4fd534c64e973d21f0202d93042e819068ce0fc0d78ff864fbe8688138b52,Stata 18 BE build 17 Feb 2026,Required default oparallel likelihood evaluator
